Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Derrick Henry,derrick-henry-2,/cfb/players/derrick-henry-2.html,Alabama,SEC,15,395,2219,5.6,28,147.9,11,91,8.3,0,6.1,406,2310,5.7,28,"H-1,Maxwell,AA,Camp",2015
Christian McCaffrey,christian-mccaffrey-1,/cfb/players/christian-mccaffrey-1.html,Stanford,Pac-12,14,337,2019,6.0,8,144.2,45,645,14.3,5,46.1,382,2664,7.0,13,"H-2,AA",2015
Leonard Fournette,leonard-fournette-1,/cfb/players/leonard-fournette-1.html,LSU,SEC,12,300,1953,6.5,22,162.8,19,253,13.3,1,21.1,319,2206,6.9,23,"H-6,AA",2015
Royce Freeman,royce-freeman-1,/cfb/players/royce-freeman-1.html,Oregon,Pac-12,13,283,1836,6.5,17,141.2,26,348,13.4,2,26.8,309,2184,7.1,19,,2015
Ezekiel Elliott,ezekiel-elliott-1,/cfb/players/ezekiel-elliott-1.html,Ohio State,Big Ten,13,289,1821,6.3,23,140.1,27,206,7.6,0,15.8,316,2027,6.4,23,H-8,2015
Dalvin Cook,dalvin-cook-1,/cfb/players/dalvin-cook-1.html,Florida State,ACC,12,229,1691,7.4,19,140.9,24,244,10.2,1,20.3,253,1935,7.6,20,H-7,2015
Donnel Pumphrey,donnel-pumphrey-1,/cfb/players/donnel-pumphrey-1.html,San Diego State,MWC,14,309,1653,5.3,17,118.1,28,416,14.9,3,29.7,337,2069,6.1,20,,2015
Larry Rose III,larry-rose-iii-1,/cfb/players/larry-rose-iii-1.html,New Mexico State,Sun Belt,12,240,1651,6.9,14,137.6,30,283,9.4,2,23.6,270,1934,7.2,16,,2015
Brian Hill,brian-hill-4,/cfb/players/brian-hill-4.html,Wyoming,MWC,12,281,1631,5.8,6,135.9,20,132,6.6,0,11.0,301,1763,5.9,6,,2015
Matt Breida,matt-breida-1,/cfb/players/matt-breida-1.html,Georgia Southern,Sun Belt,13,203,1608,7.9,17,123.7,3,6,2.0,0,0.5,206,1614,7.8,17,,2015
Tyler Ervin,tyler-ervin-1,/cfb/players/tyler-ervin-1.html,San Jose State,MWC,13,294,1601,5.4,13,123.2,45,334,7.4,2,25.7,339,1935,5.7,15,,2015
Alex Collins,alex-collins-1,/cfb/players/alex-collins-1.html,Arkansas,SEC,13,271,1577,5.8,20,121.3,13,95,7.3,0,7.3,284,1672,5.9,20,,2015
Wayne Gallman,wayne-gallman-1,/cfb/players/wayne-gallman-1.html,Clemson,ACC,14,283,1527,5.4,13,109.1,21,213,10.1,1,15.2,304,1740,5.7,14,,2015
Wendell Smallwood,wendell-smallwood-1,/cfb/players/wendell-smallwood-1.html,West Virginia,Big 12,13,238,1519,6.4,9,116.8,26,160,6.2,0,12.3,264,1679,6.4,9,,2015
Deandre Washington,deandre-washington-1,/cfb/players/deandre-washington-1.html,Texas Tech,Big 12,13,233,1492,6.4,14,114.8,41,385,9.4,2,29.6,274,1877,6.9,16,,2015
Elijah Hood,elijah-hood-1,/cfb/players/elijah-hood-1.html,North Carolina,ACC,14,219,1463,6.7,17,104.5,13,71,5.5,0,5.1,232,1534,6.6,17,,2015
Marcus Cox,marcus-cox-2,/cfb/players/marcus-cox-2.html,Appalachian State,Sun Belt,12,243,1423,5.9,9,118.6,18,160,8.9,2,13.3,261,1583,6.1,11,,2015
Justin Jackson,justin-jackson-5,/cfb/players/justin-jackson-5.html,Northwestern,Big Ten,13,312,1418,4.5,5,109.1,21,162,7.7,0,12.5,333,1580,4.7,5,,2015
Marlon Mack,marlon-mack-1,/cfb/players/marlon-mack-1.html,South Florida,American,12,210,1381,6.6,8,115.1,16,111,6.9,1,9.3,226,1492,6.6,9,,2015
