player_id,year,rank,name,position,height,weight,rating,high_school,city,state,committed_to,url
201900001,2019,1,Nolan Smith,WDE,"6' 3""",227 lbs,0.9994,IMG Academy,Bradenton,FL,Georgia,https://247sports.com/player/nolan-smith-83303/
201900002,2019,2,Kayvon Thibodeaux,WDE,"6' 4.5""",239 lbs,0.9987,Oaks Christian,Thousand Oaks,CA,Oregon,https://247sports.com/player/kayvon-thibodeaux-88121/
201900003,2019,3,Derek Stingley Jr.,CB,"6' 0.5""",188 lbs,0.9980,Dunham School,Baton Rouge,LA,LSU,https://247sports.com/player/derek-stingley-jr-89107/
201900004,2019,4,Jadon Haselwood,WR,"6' 2.5""",196 lbs,0.9966,Cedar Grove,Ellenwood,GA,Oklahoma,https://247sports.com/player/jadon-haselwood-86745/
201900005,2019,5,Antonio Alfano,SDE,"6' 4""",285 lbs,0.9965,Colonia,Colonia,NJ,Alabama,https://247sports.com/player/antonio-alfano-81734/
201900006,2019,6,Trey Sanders,RB,"6' 0""",214 lbs,0.9963,IMG Academy,Port St. Joe,FL,Alabama,https://247sports.com/player/trey-sanders-89303/
201900007,2019,7,Evan Neal,OT,"6' 7.5""",360 lbs,0.9946,IMG Academy,Okeechobee,FL,Alabama,https://247sports.com/player/evan-neal-91837/
201900008,2019,8,Zacch Pickens,DT,"6' 3""",293 lbs,0.9945,T.L. Hanna,Anderson,SC,South Carolina,https://247sports.com/player/zacch-pickens-87363/
201900009,2019,9,Bru McCoy,ATH,"6' 2""",205 lbs,0.9944,Mater Dei,Santa Ana,CA,Texas,https://247sports.com/player/bru-mccoy-88120/
201900010,2019,10,Darnell Wright,OT,"6' 6""",320 lbs,0.9943,Huntington,Huntington,WV,Tennessee,https://247sports.com/player/darnell-wright-46035563/
201900011,2019,11,Spencer Rattler,PRO,"6' 1""",198 lbs,0.9942,Pinnacle,Phoenix,AZ,Oklahoma,https://247sports.com/player/spencer-rattler-87297/
201900012,2019,12,Zach Harrison,SDE,"6' 5""",253 lbs,0.9932,Olentangy Orange,Lewis Center,OH,Ohio State,https://247sports.com/player/zach-harrison-46035767/
201900013,2019,13,John Emery Jr.,RB,"5' 11""",206 lbs,0.9929,Destrehan,Destrehan,LA,LSU,https://247sports.com/player/john-emery-jr-46038480/
201900014,2019,14,Daxton Hill,S,"6' 0.5""",186 lbs,0.9926,Booker T. Washington,Tulsa,OK,Michigan,https://247sports.com/player/daxton-hill-46039864/
201900015,2019,15,Kenyon Green,OT,"6' 4.5""",322 lbs,0.9925,Atascocita,Humble,TX,Texas A&M,https://247sports.com/player/kenyon-green-88109/
201900016,2019,16,DeMarvin Leal,DT,"6' 4""",289 lbs,0.9919,Converse Judson,Converse,TX,Texas A&M,https://247sports.com/player/demarvin-leal-94703/
201900017,2019,17,Logan Brown,OT,"6' 6""",305 lbs,0.9915,East Kentwood,Grand Rapids,MI,Wisconsin,https://247sports.com/player/logan-brown-45572566/
201900018,2019,18,Brandon Smith,ILB,"6' 4""",228 lbs,0.9911,Louisa County,Mineral,VA,Penn State,https://247sports.com/player/brandon-smith-46038482/
201900019,2019,19,Nakobe Dean,ILB,"6' 0""",220 lbs,0.9907,Horn Lake,Horn Lake,MS,Georgia,https://247sports.com/player/nakobe-dean-46040061/
201900020,2019,20,Garrett Wilson,WR,"5' 11.5""",175 lbs,0.9903,Lake Travis,Austin,TX,Ohio State,https://247sports.com/player/garrett-wilson-94612/
201900021,2019,21,Theo Wease Jr.,WR,"6' 3""",202 lbs,0.9903,Allen,Allen,TX,Oklahoma,https://247sports.com/player/theo-wease-jr-89448/
201900022,2019,22,Travon Walker,DT,"6' 5""",285 lbs,0.9900,Upson-Lee,Thomaston,GA,Georgia,https://247sports.com/player/travon-walker-93952/
201900023,2019,23,Andrew Booth,CB,"6' 1""",188 lbs,0.9891,Archer,Lawrenceville,GA,Clemson,https://247sports.com/player/andrew-booth-46039607/
201900024,2019,24,George Pickens,WR,"6' 3.5""",190 lbs,0.9879,Hoover,Hoover,AL,Georgia,https://247sports.com/player/george-pickens-46043191/
201900025,2019,25,Owen Pappoe,OLB,"6' 0""",210 lbs,0.9878,Grayson,Loganville,GA,Auburn,https://247sports.com/player/owen-pappoe-81788/
201900026,2019,26,Clay Webb,OC,"6' 3""",295 lbs,0.9877,Oxford,Oxford,AL,Georgia,https://247sports.com/player/clay-webb-85307/
201900027,2019,27,Charles Cross,OT,"6' 5""",270 lbs,0.9877,Laurel,Laurel,MS,Mississippi State,https://247sports.com/player/charles-cross-46052542/
201900028,2019,28,Wanya Morris,OT,"6' 6""",312 lbs,0.9871,Grayson,Loganville,GA,Tennessee,https://247sports.com/player/wanya-morris-46036482/
201900029,2019,29,Jerrion Ealy,RB,"5' 10""",200 lbs,0.9870,Jackson Prep,Flowood,MS,Ole Miss,https://247sports.com/player/jerrion-ealy-91219/
201900030,2019,30,Harry Miller,OC,"6' 3.5""",305 lbs,0.9868,Buford,Buford,GA,Ohio State,https://247sports.com/player/harry-miller-46039500/
201900031,2019,31,Christopher Hinton,DT,"6' 4""",280 lbs,0.9867,Greater Atlanta Christian School,Norcross,GA,Michigan,https://247sports.com/player/christopher-hinton-89558/
201900032,2019,32,Marcel Brooks,OLB,"6' 2""",195 lbs,0.9861,Marcus,Flower Mound,TX,LSU,https://247sports.com/player/marcel-brooks-46037385/
201900033,2019,33,Bo Nix,DUAL,"6' 1.5""",207 lbs,0.9856,Pinson Valley,Pinson,AL,Auburn,https://247sports.com/player/bo-nix-77945/
201900034,2019,34,Jordan Whittington,ATH,"6' 0""",198 lbs,0.9836,Cuero,Cuero,TX,Texas,https://247sports.com/player/jordan-whittington-86085/
201900035,2019,35,Jayden Daniels,DUAL,"6' 3""",175 lbs,0.9832,Cajon,San Bernardino,CA,Arizona State,https://247sports.com/player/jayden-daniels-89980/
201900036,2019,36,Dominick Blaylock,WR,"6' 1""",195 lbs,0.9831,Walton,Marietta,GA,Georgia,https://247sports.com/player/dominick-blaylock-81896/
201900037,2019,37,Tyrique Stevenson,CB,"6' 0.5""",202 lbs,0.9831,Miami Southridge,Homestead,FL,Georgia,https://247sports.com/player/tyrique-stevenson-46037033/
201900038,2019,38,Kyle Ford,WR,"6' 2""",212 lbs,0.9812,Orange Lutheran,Orange,CA,USC,https://247sports.com/player/kyle-ford-46037885/
201900039,2019,39,Frank Ladson Jr.,WR,"6' 3""",190 lbs,0.9799,South Dade,Miami,FL,Clemson,https://247sports.com/player/frank-ladson-jr-46036916/
201900040,2019,40,Pierce Quick,OT,"6' 5""",287 lbs,0.9788,Hewitt-Trussville,Trussville,AL,Alabama,https://247sports.com/player/pierce-quick-46037143/
201900041,2019,41,Mykael Wright,CB,"5' 11""",180 lbs,0.9783,Antelope Valley,Lancaster,CA,Oregon,https://247sports.com/player/mykael-wright-46040034/
201900042,2019,42,Chris Steele,CB,"6' 1.5""",187 lbs,0.9781,St. John Bosco,Bellflower,CA,Florida,https://247sports.com/player/chris-steele-90375/
201900043,2019,43,Jordan Battle,S,"6' 1""",187 lbs,0.9779,St. Thomas Aquinas,Fort Lauderdale,FL,Alabama,https://247sports.com/player/jordan-battle-46040887/
201900044,2019,44,Henry To'o To'o,OLB,"6' 2""",230 lbs,0.9779,De La Salle,Concord,CA,Tennessee,https://247sports.com/player/henry-too-too-46039470/
201900045,2019,45,Lewis Cine,S,"6' 2""",180 lbs,0.9765,Trinity Christian School,Cedar Hill,TX,Georgia,https://247sports.com/player/lewis-cine-46042955/
201900046,2019,46,Zach Charbonnet,RB,"6' 2""",215 lbs,0.9760,Oaks Christian,Westlake Village,CA,Michigan,https://247sports.com/player/zach-charbonnet-46045836/
201900047,2019,47,Ishmael Sopsher,DT,"6' 3.5""",334 lbs,0.9757,Amite,Amite,LA,Alabama,https://247sports.com/player/ishmael-sopsher-88108/
201900048,2019,48,Kaiir Elam,CB,"6' 1""",182 lbs,0.9755,The Benjamin School,North Palm Beach,FL,Florida,https://247sports.com/player/kaiir-elam-90484/
201900049,2019,49,Jake Smith,WR,"6' 1""",189 lbs,0.9752,Notre Dame Preparatory,Scottsdale,AZ,Texas,https://247sports.com/player/jake-smith-46047516/
201900050,2019,50,Akeem Dent,CB,"5' 11""",180 lbs,0.9752,Palm Beach Central,West Palm Beach,FL,Florida State,https://247sports.com/player/akeem-dent-92565/
201900051,2019,51,Devontae Dobbs,OG,"6' 4""",304 lbs,0.9747,Belleville,Belleville,MI,Michigan State,https://247sports.com/player/devontae-dobbs-85395/
201900052,2019,52,Joe Ngata,WR,"6' 3""",205 lbs,0.9733,Folsom,Folsom,CA,Clemson,https://247sports.com/player/joe-ngata-92472/
201900053,2019,53,Baylor Cupp,TE,"6' 6""",240 lbs,0.9731,Brock,Brock,TX,Texas A&M,https://247sports.com/player/baylor-cupp-46050629/
201900054,2019,54,Jeremiah Payton,WR,"6' 0.5""",186 lbs,0.9730,Duncan U. Fletcher,Neptune Beach,FL,Miami,https://247sports.com/player/jeremiah-payton-46036141/
201900055,2019,55,Nick Cross,S,"6' 0""",206 lbs,0.9727,DeMatha Catholic,Hyattsville,MD,Maryland,https://247sports.com/player/nick-cross-46041611/
201900056,2019,56,Drake Jackson,SDE,"6' 3""",269 lbs,0.9725,Centennial,Corona,CA,USC,https://247sports.com/player/drake-jackson-46037809/
201900057,2019,57,Julian Barnett,CB,"6' 2""",189 lbs,0.9724,Belleville,Belleville,MI,Michigan State,https://247sports.com/player/julian-barnett-85396/
201900058,2019,58,Tyler Johnson,OT,"6' 5""",308 lbs,0.9722,Oak Ridge,Conroe,TX,Texas,https://247sports.com/player/tyler-johnson-88286/
201900059,2019,59,George Karlaftis,SDE,"6' 4""",265 lbs,0.9705,West Lafayette,West Lafayette,IN,Purdue,https://247sports.com/player/george-karlaftis-45572561/
201900060,2019,60,Kyle Hamilton,S,"6' 3""",190 lbs,0.9699,Marist School,Atlanta,GA,Notre Dame,https://247sports.com/player/kyle-hamilton-46047660/
201900061,2019,61,Quavaris Crouch,ATH,"6' 0.5""",237 lbs,0.9699,Harding University High,Charlotte,NC,Tennessee,https://247sports.com/player/quavaris-crouch-92997/
201900062,2019,62,Justin Eboigbe,SDE,"6' 4.5""",263 lbs,0.9697,Forest Park,Forest Park,GA,Alabama,https://247sports.com/player/justin-eboigbe-46041116/
201900063,2019,63,Jonah Tauanu'u,OT,"6' 5""",305 lbs,0.9695,Narbonne,Harbor City,CA,Oregon,https://247sports.com/player/jonah-tauanuu-46037520/
201900064,2019,64,Ryan Hilinski,PRO,"6' 3""",230 lbs,0.9695,Orange Lutheran,Orange,CA,South Carolina,https://247sports.com/player/ryan-hilinski-93478/
201900065,2019,65,Graham Mertz,PRO,"6' 3""",205 lbs,0.9689,Blue Valley North,Mission,KS,Wisconsin,https://247sports.com/player/graham-mertz-46038869/
201900066,2019,66,Trejan Bridges,WR,"6' 1""",180 lbs,0.9687,Hebron,Carrollton,TX,Oklahoma,https://247sports.com/player/trejan-bridges-46036258/
201900067,2019,67,De'Gabriel Floyd,ILB,"6' 1.5""",231 lbs,0.9681,Westlake,Westlake Village,CA,Texas,https://247sports.com/player/degabriel-floyd-90748/
201900068,2019,68,Mase Funa,ILB,"6' 2""",245 lbs,0.9681,Mater Dei,Santa Ana,CA,Oregon,https://247sports.com/player/mase-funa-45572564/
201900069,2019,69,Charles Moore,SDE,"6' 4""",268 lbs,0.9681,Louisville,Louisville,MS,Auburn,https://247sports.com/player/charles-moore-83866/
201900070,2019,70,Dylan Wright,WR,"6' 4""",215 lbs,0.9677,West Mesquite,Mesquite,TX,Texas A&M,https://247sports.com/player/dylan-wright-46039963/
201900071,2019,71,Khris Bogle,WDE,"6' 3.5""",212 lbs,0.9677,Cardinal Gibbons,Fort Lauderdale,FL,Florida,https://247sports.com/player/khris-bogle-46038472/
201900072,2019,72,Brian Williams,S,"6' 1""",211 lbs,0.9677,Bishop Dunne,Dallas,TX,Texas A&M,https://247sports.com/player/brian-williams-91902/
201900073,2019,73,Nathan Pickering,DT,"6' 3.5""",305 lbs,0.9675,Seminary,Seminary,MS,Mississippi State,https://247sports.com/player/nathan-pickering-46039501/
201900074,2019,74,Sean Rhyan,OG,"6' 4.5""",324 lbs,0.9671,San Juan Hills,San Juan Capistrano,CA,UCLA,https://247sports.com/player/sean-rhyan-46040031/
201900075,2019,75,Jowon Briggs,DT,"6' 2""",295 lbs,0.9667,Walnut Hills,Cincinnati,OH,Virginia,https://247sports.com/player/jowon-briggs-46036250/
201900076,2019,76,Amari Kight,OT,"6' 6.5""",315 lbs,0.9648,Thompson,Alabaster,AL,Alabama,https://247sports.com/player/amari-kight-46040024/
201900077,2019,77,Byron Young,DT,"6' 2.5""",290 lbs,0.9647,West Jones,Laurel,MS,Alabama,https://247sports.com/player/byron-young-46040543/
201900078,2019,78,Shane Lee,ILB,"6' 0""",243 lbs,0.9647,St. Frances Academy,Baltimore,MD,Alabama,https://247sports.com/player/shane-lee-91372/
201900079,2019,79,Devyn Ford,RB,"5' 11""",195 lbs,0.9643,North Stafford,Stafford,VA,Penn State,https://247sports.com/player/devyn-ford-87066/
201900080,2019,80,Demani Richardson,S,"6' 1""",209 lbs,0.9629,Waxahachie,Waxahachie,TX,Texas A&M,https://247sports.com/player/demani-richardson-46035849/
201900081,2019,81,Caedan Wallace,OG,"6' 5""",288 lbs,0.9626,Hun School,Princeton,NJ,Penn State,https://247sports.com/player/caedan-wallace-46036334/
201900082,2019,82,Jameson Williams,WR,"6' 1.5""",169 lbs,0.9621,Cardinal Ritter College Prep,St. Louis,MO,Ohio State,https://247sports.com/player/jameson-williams-46040514/
201900083,2019,83,Faatui Tuitele,DT,"6' 2.5""",304 lbs,0.9608,St. Louis,Honolulu,HI,Washington,https://247sports.com/player/faatui-tuitele-92994/
201900084,2019,84,DeMarcco Hellams,S,"6' 1""",203 lbs,0.9603,DeMatha Catholic,Hyattsville,MD,Alabama,https://247sports.com/player/demarcco-hellams-84666/
201900085,2019,85,Elijah Higgins,WR,"6' 3""",214 lbs,0.9600,Austin Bowie,Austin,TX,Stanford,https://247sports.com/player/elijah-higgins-46040146/
201900086,2019,86,Jacob Bandes,DT,"6' 2""",315 lbs,0.9599,Pittsburg,Pittsburg,CA,Washington,https://247sports.com/player/jacob-bandes-46042214/
201900087,2019,87,Wan'Dale Robinson,APB,"5' 9""",175 lbs,0.9597,Western Hills,Frankfort,KY,Nebraska,https://247sports.com/player/wandale-robinson-46039351/
201900088,2019,88,Ty'Ron Hopper,OLB,"6' 2""",197 lbs,0.9595,Roswell,Roswell,GA,Florida,https://247sports.com/player/tyron-hopper-46039146/
201900089,2019,89,Rian Davis,OLB,"6' 1.5""",240 lbs,0.9590,Wekiva,Apopka,FL,Georgia,https://247sports.com/player/rian-davis-46042215/
201900090,2019,90,Mark-Antony Richards,ATH,"6' 1""",195 lbs,0.9588,Wellington,West Palm Beach,FL,Auburn,https://247sports.com/player/mark-antony-richards-94554/
201900091,2019,91,Scooby Carter,CB,"6' 0""",186 lbs,0.9588,Mansfield Legacy,Mansfield,TX,Alabama,https://247sports.com/player/scooby-carter-46038477/
201900092,2019,92,Adisa Isaac,WDE,"6' 5""",220 lbs,0.9584,Canarsie,Brooklyn,NY,Penn State,https://247sports.com/player/adisa-isaac-46047325/
201900093,2019,93,Sam Howell,DUAL,"6' 0""",225 lbs,0.9582,Sun Valley,Monroe,NC,North Carolina,https://247sports.com/player/sam-howell-91707/
201900094,2019,94,Mycah Pittman,WR,"5' 11""",195 lbs,0.9578,Calabasas,Calabasas,CA,Oregon,https://247sports.com/player/mycah-pittman-46035991/
201900095,2019,95,Zeke Correll,OC,"6' 4""",285 lbs,0.9578,Anderson,Cincinnati,OH,Notre Dame,https://247sports.com/player/zeke-correll-46039612/
201900096,2019,96,Erick Young,CB,"6' 0""",208 lbs,0.9576,Fort Bend Bush,Richmond,TX,Texas A&M,https://247sports.com/player/erick-young-46037331/
201900097,2019,97,Kardell Thomas,OG,"6' 2.5""",356 lbs,0.9572,Southern Lab,Baton Rouge,LA,LSU,https://247sports.com/player/kardell-thomas-85350/
201900098,2019,98,Noah Cain,RB,"5' 10""",208 lbs,0.9568,IMG Academy,Bradenton,FL,Penn State,https://247sports.com/player/noah-cain-86618/
201900099,2019,99,Marquez Beason,ATH,"5' 10""",177 lbs,0.9564,Duncanville,Duncanville,TX,Illinois,https://247sports.com/player/marquez-beason-92710/
201900100,2019,100,Jaren Handy,SDE,"6' 5""",278 lbs,0.9560,Hattiesburg,Hattiesburg,MS,Auburn,https://247sports.com/player/jaren-handy-46048949/
201900101,2019,101,Will Putnam,OG,"6' 3.5""",295 lbs,0.9555,Plant,Tampa,FL,Clemson,https://247sports.com/player/will-putnam-85976/
201900102,2019,102,Tyler Owens,S,"6' 2""",197 lbs,0.9554,Plano East,Plano,TX,Texas,https://247sports.com/player/tyler-owens-46049296/
201900103,2019,103,Brandon Turnage,CB,"6' 1""",185 lbs,0.9548,Lafayette,Oxford,MS,Alabama,https://247sports.com/player/brandon-turnage-46037040/
201900104,2019,104,Treylon Burks,WR,"6' 3""",225 lbs,0.9544,Warren,Warren,AR,Arkansas,https://247sports.com/player/treylon-burks-90763/
201900105,2019,105,Keon Zipperer,TE,"6' 2""",240 lbs,0.9542,Lakeland,Lakeland,FL,Florida,https://247sports.com/player/keon-zipperer-45573302/
201900106,2019,106,Mazi Smith,DT,"6' 3""",290 lbs,0.9536,East Kentwood,Grand Rapids,MI,Michigan,https://247sports.com/player/mazi-smith-46039424/
201900107,2019,107,Doug Nester,OG,"6' 6.5""",305 lbs,0.9519,Spring Valley,Huntington,WV,Virginia Tech,https://247sports.com/player/doug-nester-89542/
201900108,2019,108,Trente Jones,OT,"6' 6""",282 lbs,0.9512,Grayson,Loganville,GA,Michigan,https://247sports.com/player/trente-jones-46038886/
201900109,2019,109,Mohamoud Diabate,OLB,"6' 3""",215 lbs,0.9510,Auburn,Auburn,AL,Florida,https://247sports.com/player/mohamoud-diabate-46039650/
201900110,2019,110,Christian Harris,ILB,"6' 1.5""",235 lbs,0.9506,University Lab,Baton Rouge,LA,Alabama,https://247sports.com/player/christian-harris-89511/
201900111,2019,111,Ramel Keyton,WR,"6' 3""",185 lbs,0.9503,Marietta,Marietta,GA,Tennessee,https://247sports.com/player/ramel-keyton-46035762/
201900112,2019,112,Trey Palmer,WR,"6' 0""",179 lbs,0.9499,Kentwood,Kentwood,LA,LSU,https://247sports.com/player/trey-palmer-93983/
201900113,2019,113,David Bell,WR,"6' 1""",200 lbs,0.9495,Warren Central,Indianapolis,IN,Purdue,https://247sports.com/player/david-bell-85809/
201900114,2019,114,Cade Stover,OLB,"6' 5""",235 lbs,0.9487,Lexington,Mansfield,OH,Ohio State,https://247sports.com/player/cade-stover-92426/
201900115,2019,115,Ronnie Hickman,S,"6' 1""",200 lbs,0.9485,DePaul Catholic,Wayne,NJ,Ohio State,https://247sports.com/player/ronnie-hickman-46037434/
201900116,2019,116,Isaiah Williams,ATH,"5' 9.5""",170 lbs,0.9479,Trinity Catholic,St. Louis,MO,Illinois,https://247sports.com/player/isaiah-williams-93607/
201900117,2019,117,Brendan Gant,S,"6' 1""",192 lbs,0.9478,Kathleen,Lakeland,FL,Florida State,https://247sports.com/player/brendan-gant-93041/
201900118,2019,118,Quinn Carroll,OT,"6' 6""",295 lbs,0.9472,Edina,Minneapolis,MN,Notre Dame,https://247sports.com/player/quinn-carroll-94043/
201900119,2019,119,Austin Jones,RB,"5' 10""",195 lbs,0.9471,Bishop O'Dowd,Oakland,CA,Stanford,https://247sports.com/player/austin-jones-46040550/
201900120,2019,120,John Dunmore,WR,"6' 2""",172 lbs,0.9469,Chaminade-Madonna,Hollywood,FL,Penn State,https://247sports.com/player/john-dunmore-94688/
201900121,2019,121,Austin Stogner,TE,"6' 6""",235 lbs,0.9467,Prestonwood Christian,Plano,TX,Oklahoma,https://247sports.com/player/austin-stogner-46036234/
201900122,2019,122,Trezmen Marshall,ILB,"6' 0""",236 lbs,0.9464,Clinch County,Homerville,GA,Georgia,https://247sports.com/player/trezmen-marshall-94052/
201900123,2019,123,Kevin Harris,WDE,"6' 4""",228 lbs,0.9463,Grayson,Loganville,GA,Alabama,https://247sports.com/player/kevin-harris-46038885/
201900124,2019,124,Enokk Vimahi,OG,"6' 4.5""",263 lbs,0.9444,Kahuku,Kahuku,HI,Ohio State,https://247sports.com/player/enokk-vimahi-46038963/
201900125,2019,125,Branson Bragg,OC,"6' 4""",308 lbs,0.9443,Crandall,Crandall,TX,Stanford,https://247sports.com/player/branson-bragg-45573079/
201900126,2019,126,Trent McDuffie,CB,"5' 11""",187 lbs,0.9441,St. John Bosco,Bellflower,CA,Washington,https://247sports.com/player/trent-mcduffie-46037884/
201900127,2019,127,Marcus Banks,CB,"6' 0""",166 lbs,0.9441,Dekaney,Houston,TX,Alabama,https://247sports.com/player/marcus-banks-46041877/
201900128,2019,128,Laiatu Latu,WDE,"6' 4""",272 lbs,0.9435,Jesuit,Carmichael,CA,Washington,https://247sports.com/player/laiatu-latu-46049534/
201900129,2019,129,Maurice Hampton,CB,"6' 0""",205 lbs,0.9432,Memphis University School,Memphis,TN,LSU,https://247sports.com/player/maurice-hampton-88511/
201900130,2019,130,Sheridan Jones,CB,"6' 1""",175 lbs,0.9430,Maury,Norfolk,VA,Clemson,https://247sports.com/player/sheridan-jones-92831/
201900131,2019,131,Kenyatta Watson II,CB,"6' 2""",182 lbs,0.9427,Grayson,Loganville,GA,Texas,https://247sports.com/player/kenyatta-watson-ii-89396/
201900132,2019,132,Hudson Henry,TE,"6' 5""",230 lbs,0.9422,Pulaski Academy,Little Rock,AR,Arkansas,https://247sports.com/player/hudson-henry-90363/
201900133,2019,133,Zion Puckett,S,"6' 0""",200 lbs,0.9420,Spalding,Griffin,GA,Auburn,https://247sports.com/player/zion-puckett-46041185/
201900134,2019,134,Lance Wilhoite,WR,"6' 2.5""",186 lbs,0.9413,Franklin Road Academy,Nashville,TN,Oregon,https://247sports.com/player/lance-wilhoite-89812/
201900135,2019,135,Joseph Anderson,SDE,"6' 4""",268 lbs,0.9412,Oakland,Murfreesboro,TN,South Carolina,https://247sports.com/player/joseph-anderson-85504/
201900136,2019,136,Puka Nacua,WR,"6' 2""",190 lbs,0.9404,Orem,Orem,UT,Washington,https://247sports.com/player/puka-nacua-46039709/
201900137,2019,137,Tyler Davis,DT,"6' 1""",293 lbs,0.9401,Wekiva,Apopka,FL,Clemson,https://247sports.com/player/tyler-davis-89148/
201900138,2019,138,Siaki Ika,DT,"6' 2.5""",372 lbs,0.9400,East,Salt Lake City,UT,LSU,https://247sports.com/player/siaki-ika-46040395/
201900139,2019,139,Tyrion Davis-Price,RB,"6' 1""",235 lbs,0.9398,Southern Lab,Baton Rouge,LA,LSU,https://247sports.com/player/tyrion-davis-price-93968/
201900140,2019,140,Diwun Black,ILB,"6' 3.5""",216 lbs,0.9398,Osceola,Jackson,MS,Florida,https://247sports.com/player/diwun-black-46038752/
201900141,2019,141,Arjei Henderson,WR,"6' 1""",183 lbs,0.9395,Fort Bend Travis,Richmond,TX,Jacksonville State,https://247sports.com/player/arjei-henderson-46035324/
201900142,2019,142,Stephen Herron Jr.,WDE,"6' 3.5""",238 lbs,0.9389,Trinity,Louisville,KY,Stanford,https://247sports.com/player/stephen-herron-jr-94130/
201900143,2019,143,Travis Jay,CB,"6' 1""",185 lbs,0.9388,Madison County,Madison,FL,Florida State,https://247sports.com/player/travis-jay-46047687/
201900144,2019,144,Sean Dollars,APB,"5' 10""",185 lbs,0.9387,Mater Dei,Santa Ana,CA,Oregon,https://247sports.com/player/sean-dollars-46040937/
201900145,2019,145,Keiondre Jones,OG,"6' 4""",341 lbs,0.9385,Callaway,Hogansville,GA,Auburn,https://247sports.com/player/keiondre-jones-83780/
201900146,2019,146,Marcus Washington,WR,"6' 2""",191 lbs,0.9384,Trinity Catholic,St. Louis,MO,Texas,https://247sports.com/player/marcus-washington-91666/
201900147,2019,147,Nick Henrich,ILB,"6' 4""",210 lbs,0.9383,Burke,Omaha,NE,Nebraska,https://247sports.com/player/nick-henrich-46038867/
201900148,2019,148,Noa Pola-Gates,CB,"5' 11""",165 lbs,0.9379,Williams Field,Gilbert,AZ,Nebraska,https://247sports.com/player/noa-pola-gates-46050931/
201900149,2019,149,Derick Hall,WDE,"6' 3.5""",216 lbs,0.9378,Gulfport,Gulfport,MS,Auburn,https://247sports.com/player/derick-hall-46050883/
201900150,2019,150,Joseph Charleston,S,"6' 2""",190 lbs,0.9376,Milton,Alpharetta,GA,Clemson,https://247sports.com/player/joseph-charleston-46040448/
201900151,2019,151,Cam Smith,CB,"6' 1""",168 lbs,0.9366,Westwood,Blythewood,SC,South Carolina,https://247sports.com/player/cam-smith-46052899/
201900152,2019,152,Isaiah Spiller,RB,"6' 0.5""",201 lbs,0.9351,Klein Collins,Spring,TX,Texas A&M,https://247sports.com/player/isaiah-spiller-46039053/
201900153,2019,153,Bryce Benhart,OT,"6' 9""",287 lbs,0.9349,Lakeville North,Lakeville,MN,Nebraska,https://247sports.com/player/bryce-benhart-46040349/
201900154,2019,154,Ray Parker,OT,"6' 5""",270 lbs,0.9340,Ruston,Ruston,LA,LSU,https://247sports.com/player/ray-parker-46047319/
201900155,2019,155,Stacey Wilkins,OT,"6' 5""",284 lbs,0.9340,Camden Fairview,Camden,AR,Oklahoma,https://247sports.com/player/stacey-wilkins-46048761/
201900156,2019,156,Dannis Jackson,WR,"6' 1""",187 lbs,0.9333,Sumrall,Sumrall,MS,Ole Miss,https://247sports.com/player/dannis-jackson-46036898/
201900157,2019,157,Jaylen McCollough,S,"6' 0""",194 lbs,0.9331,Hillgrove,Powder Springs,GA,Tennessee,https://247sports.com/player/jaylen-mccollough-83295/
201900158,2019,158,Jaquaze Sorrells,DT,"6' 2.5""",310 lbs,0.9331,Winter Park,Orlando,FL,TCU,https://247sports.com/player/jaquaze-sorrells-93992/
201900159,2019,159,King Mwikuta,WDE,"6' 5""",240 lbs,0.9330,Troup County,West Point,GA,Alabama,https://247sports.com/player/king-mwikuta-45572616/
201900160,2019,160,Donte Starks,ILB,"6' 1""",225 lbs,0.9330,John Ehret,Marrero,LA,LSU,https://247sports.com/player/donte-starks-45573479/
201900161,2019,161,Christian Williams,CB,"6' 1""",182 lbs,0.9328,Daphne,Daphne,AL,Miami,https://247sports.com/player/christian-williams-46048941/
201900162,2019,162,Bill Norton,SDE,"6' 6""",275 lbs,0.9326,Christian Brothers,Memphis,TN,Georgia,https://247sports.com/player/bill-norton-46041127/
201900163,2019,163,Jaden Payoute,ATH,"6' 2""",195 lbs,0.9326,Lloyd C. Bird,Chesterfield,VA,Virginia Tech,https://247sports.com/player/jaden-payoute-46056393/
201900164,2019,164,Jeremiah Criddell,S,"5' 11""",188 lbs,0.9326,Mater Dei,Santa Ana,CA,Oklahoma,https://247sports.com/player/jeremiah-criddell-46038115/
201900165,2019,165,Ty Robinson,SDE,"6' 5""",283 lbs,0.9325,Higley,Gilbert,AZ,Nebraska,https://247sports.com/player/ty-robinson-46047228/
201900166,2019,166,Braylen Ingraham,SDE,"6' 4""",260 lbs,0.9321,St. Thomas Aquinas,Fort Lauderdale,FL,Alabama,https://247sports.com/player/braylen-ingraham-90371/
201900167,2019,167,Lance Dixon,OLB,"6' 2""",201 lbs,0.9317,West Bloomfield,West Bloomfield,MI,Penn State,https://247sports.com/player/lance-dixon-89662/
201900168,2019,168,David Gbenda,ILB,"6' 0""",218 lbs,0.9313,Cinco Ranch,Katy,TX,Texas,https://247sports.com/player/david-gbenda-46051953/
201900169,2019,169,Devonta Lee,ATH,"6' 2""",212 lbs,0.9312,Amite,Amite,LA,LSU,https://247sports.com/player/devonta-lee-88552/
